#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2514999999.0ns,17,0,480837,1.448,2.515,8,0,0,0
+3654999999.0ns,17,1,742035,2.515,3.655,14.86,0,1,0
+5054999999.0ns,17,2,1661862,3.655,5.055,21.46,0,4,0
+6162999999.0ns,17,3,666933,5.055,6.163,28.352,0,1,0
+7264999999.0ns,17,4,656332,6.163,7.265,35.25,0,1,0
+13580999999.0ns,17,5,473417,12.515,13.581,36.934,0,1,0
+21552999999.0ns,17,6,415766,20.515,21.553,36.962,0,0,0
+29546999999.0ns,17,7,363878,28.515,29.547,36.968,0,1,0
+37737999999.0ns,17,8,1071474,36.515,37.738,36.777,0,3,0
+45842999999.0ns,17,9,1415713,44.515,45.843,36.672,0,3,0
+53884999999.0ns,17,10,1584924,52.515,53.885,36.63,0,2,0
+61807999999.0ns,17,11,1301313,60.515,61.808,36.707,0,4,0
+69472999999.0ns,17,12,179251,68.515,69.473,37.042,0,0,0
